LAT, LON, RGN-C, WFO-C, STN-C, TEMP-N, 0.25-N, 0.75-N, 50%-N
43.1167, -76.1167, EE, BGM, KSYR, 48.292, 44.350867, 50.699382, 6.348515
43.9889, -76.0264, EE, BUF, KART, 46.132, 42.360702, 48.492808, 6.13210599999999
36.0300, -76.57, EE, AKQ, KEDE, 74.212, 71.592355, 75.389552, 3.797197
36.2667, -76.1833, EE, AKQ, KECG, 78.352, 75.452352, 79.653611, 4.20125899999999
35.0000, -78.8833, EE, RAH, KFAY, 85.192, 81.434588, 86.907458, 5.47287
35.8200, -81.61, EE, GSP, KMRN, 83.392, 78.868470, 85.704865, 6.836395
46.0106, -102.6497, CC, BIS, KHEI, 41.272, 36.216903, 44.319367, 8.102464
34.3000, -97.0167, SS, OUN, KADM, 70.612, 67.310758, 72.656751, 5.34599299999999
36.3833, -97.8, SS, OUN, KWDG, 62.152, 58.299146, 64.628787, 6.329641
35.8497, -97.4156, SS, OUN, KGOK, 65.752, 62.505422, 68.156705, 5.651283
35.6667, -95.3667, SS, TSA, KMKO, 69.892, 66.654658, 71.668105, 5.013447
45.1961, -123.1322, WW, PQR, KMMV, 48.292, 46.001992, 50.159240, 4.157248
44.5833, -124.05, WW, PQR, KONP, 54.232, 51.686072, 55.749564, 4.063492
40.6500, -75.4333, EE, PHI, KABE, 59.272, 56.427531, 60.968585, 4.541054
41.3833, -79.8667, EE, PBZ, KFKL, 55.312, 52.089086, 57.628284, 5.539198
40.3147, -78.8308, EE, CTP, KJST, 55.312, 51.771092, 57.559142, 5.78805
34.5000, -82.7167, EE, GSP, KAND, 81.412, 78.114533, 82.726140, 4.61160700000001
45.4500, -98.4333, CC, ABR, KABR, 42.892, 38.286624, 45.689607, 7.402983
44.0500, -103.0667, CC, UNR, KRAP, 43.252, 38.505292, 46.807199, 8.301907
27.7667, -97.5, SS, CRP, KCRP, 86.812, 83.589063, 88.301864, 4.712801
31.8000, -106.4, SS, EPZ, KELP, 59.272, 55.924697, 61.619887, 5.69519
29.5333, -98.4667, SS, EWX, KSAT, 80.512, 77.537131, 82.120652, 4.583521
37.6167, -109.4667, CC, GJT, K4BL, 45.232, 42.305398, 47.486157, 5.180759
38.3667, -110.7167, WW, SLC, K4HV, 54.232, 51.063104, 56.560922, 5.497818
38.7667, -109.75, CC, GJT, KCNY, 53.332, 50.219493, 55.516849, 5.297356
37.1000, -113.6, WW, SLC, KSGU, 58.192, 55.655751, 60.390735, 4.734984
44.4167, -72.0167, EE, BTV, K1V4, 48.292, 44.953723, 50.284848, 5.331125
36.5728, -79.3353, EE, RNK, KDAN, 77.992, 74.711499, 79.509540, 4.798041
37.9500, -79.8167, EE, RNK, KHSP, 61.612, 58.437629, 63.354688, 4.917059
47.9167, -122.2833, WW, SEW, KPAE, 53.332, 51.292405, 54.745202, 3.452797
48.1167, -123.5, WW, SEW, KCLM, 53.332, 51.596160, 54.398704, 2.802544
47.6333, -117.5333, WW, OTX, KGEG, 43.252, 40.282168, 45.436730, 5.154562
47.3978, -120.2014, WW, OTX, KEAT, 45.232, 42.482800, 47.215667, 4.73286700000001
43.7700, -88.4864, CC, MKX, KFLD, 50.272, 47.028461, 52.451987, 5.423526
44.1333, -87.6667, CC, GRB, KMTW, 50.272, 47.487597, 52.144294, 4.656697
45.1000, -90.3, CC, ARX, KMDZ, 48.292, 45.013118, 50.262713, 5.249595
44.0000, -88.5667, CC, GRB, KOSH, 50.272, 47.143426, 52.533374, 5.389948
43.0200, -91.12, CC, ARX, KPDC, 53.332, 50.052838, 55.646577, 5.593739
42.7586, -87.8178, CC, MKX, KRAC, 50.272, 47.046990, 52.272201, 5.225211
43.1000, -88.72, CC, MKX, KRYV, 50.272, 46.882930, 52.632728, 5.749798
43.0500, -108.45, CC, RIW, KRIW, 37.312, 32.822442, 40.933537, 8.111095
43.9752, -107.9558, CC, RIW, KWRL, 40.192, 35.457330, 43.719115, 8.261785
